 BUCKMAN; EDWARD;;;;
 BUCKY;BUCKY BARNES;;;;
 BUCKY II;FRED DAVIS;;;;
 BUCKY VI;;;;;
 BUCKY VII;RIKKI BARNES;;;;
 BUEL;;;;;
 BUG;;;;;
 BUKOWSKI; BUCK;;;;
 BULL;;;;;
 BULLDOZER;HENRY CAMP;;;;
 BULLET;;;;;
 BULLET BIKER;;;;;
 BULLSEYE;;;;;
 BULLSEYE II;BENJAMIN POINDEXTER;;;;
 BULLSEYE ; MUTANT X-VERSE;BENJAMIN POINDEXTER;;;
 BULWARK;;;;;
 BUMPKIN;;;;;
 BUMPO; MR.;;;;
 BUNYAN; PAUL;;;;
 BURGOS; CARL;;;;
 BURKE;;;;;
 BURKE; GWYNETH;;;;
 BURKE; JACK;;;;
 BURKE; JOB;;;;
 BURKE; RICKY;;;;
 BURKE; THERESA TRACY;;;;
 BURLEY; MIKE;;;;
 BURLINGAME; CALVIN;;;;
